250 1273
141 163 10969
140 157 6665
140 197 4593
140 206 1814
140 211 9743
140 215 8428
140 220 6833
140 222 10596
139 152 11903
139 189 10136
139 227 11064
139 234 9598
139 240 11352
139 241 2076
138 146 11708
138 147 3524
138 184 11008
138 216 11222
138 219 4325
138 225 10278
138 228 7930
137 160 2310
137 235 3185
136 142 6693
136 182 7362
136 231 11174
135 138 10296
135 146 10314
135 147 6821
135 228 3986
134 167 6778
133 155 8146
133 172 7460
133 236 5508
133 239 6934
132 144 5854
132 180 9728
132 194 1012
132 244 10112
131 195 5825
131 235 11697
130 134 7141
130 148 8531
130 167 3392
130 179 11909
130 237 9707
129 137 11358
129 160 9153
129 174 11948
129 240 1726
127 184 8912
127 216 5899
126 149 4208
126 158 2917
126 173 11220
126 182 8040
126 185 5816
126 198 5633
126 231 8248
125 143 6118
125 156 1487
125 166 5177
125 172 8584
125 173 4713
125 181 3552
125 198 10321
125 214 3033
125 236 10482
124 176 7983
124 247 10306
123 140 1217
123 157 5505
123 197 5144
123 206 647
123 208 11241
123 211 8536
123 215 7516
123 220 5638
123 222 9525
122 159 8749
122 171 3463
122 183 3939
122 199 7031
122 224 4530
122 243 9371
121 146 9428
121 162 9789
121 230 8292
120 121 10342
120 135 4953
120 138 9676
120 146 5361
120 147 7142
120 228 7464
119 125 6300
119 143 11650
119 152 10687
119 156 7746
119 166 8159
119 173 8663
119 181 7699
119 185 11388
119 198 6902
119 209 10634
119 214 9204
118 141 10873
118 148 11794
118 168 9427
118 179 6290
118 237 8473
117 165 4059
117 191 7925
117 195 8583
117 221 8021
117 248 7638
116 154 5126
116 229 8124
116 242 6730
115 164 5526
115 177 8339
115 192 10158
115 203 7319
115 205 11526
115 210 7685
115 212 6712
115 223 2060
115 226 11896
114 122 5379
114 159 9842
114 171 7228
114 183 8536
114 199 5009
114 224 4665
114 243 5551
113 129 9960
113 137 5632
113 160 4347
113 235 8047
113 240 10722
111 123 5351
111 140 6016
111 157 3963
111 197 5323
111 206 5391
111 208 11522
111 211 8364
111 213 11550
111 215 2920
111 220 4680
111 222 11114
110 127 9332
110 138 5083
110 147 8420
110 184 6517
110 216 6179
110 219 7179
109 111 6802
109 123 8214
109 136 11644
109 140 7724
109 157 10525
109 182 10766
109 197 3132
109 206 8755
109 215 9401
109 220 11157
108 131 11436
108 174 8976
108 201 8254
108 204 11594
107 124 11362
107 132 2227
107 144 6821
107 180 11930
107 194 2119
107 244 10940
107 247 11883
106 107 1034
106 124 10392
106 132 3234
106 144 7217
106 194 3141
106 244 11674
106 247 11604
105 145 8161
105 186 7936
105 202 2597
105 218 9568
105 233 4888
105 249 6640
104 175 3708
104 193 4287
104 244 5731
103 139 9831
103 188 9374
103 227 7775
103 241 11740
102 109 5491
102 111 7783
102 123 5090
102 126 10521
102 140 3982
102 157 9930
102 158 10869
102 182 10336
102 197 3115
102 206 5734
102 215 10662
102 220 10279
101 104 6580
101 134 8099
101 175 6827
101 193 7056
100 130 10765
100 141 5150
100 148 3171
100 163 6455
99 118 11425
99 179 5183
99 237 4433
98 145 7138
98 161 8756
98 169 10904
98 177 10973
98 186 7779
98 192 11562
98 203 8870
98 205 4951
98 226 5664
98 232 10938
98 249 8598
97 200 1569
97 238 6553
96 116 9423
96 154 11710
96 217 11785
95 142 8069
95 199 9053
95 243 9095
94 98 7550
94 145 8371
94 161 4360
94 169 3641
94 177 10570
94 186 11051
94 188 7640
94 192 9704
94 203 11502
94 205 7908
94 227 11188
94 232 3594
94 249 9608
93 123 11702
93 133 7972
93 140 11349
93 172 8961
93 173 9296
93 206 11628
93 236 6040
92 110 6129
92 120 9388
92 135 9544
92 138 1061
92 146 11905
92 147 2723
92 219 4088
92 225 9863
92 228 6959
91 114 11828
91 174 6973
91 234 10517
91 243 10115
90 117 6089
90 128 10682
90 131 10584
90 165 7494
90 195 5110
89 99 8567
89 183 9779
88 112 11190
88 131 3684
88 137 10342
88 195 8273
88 235 8302
87 109 11578
87 136 10345
87 142 5640
86 153 10662
86 176 11147
86 247 9698
85 101 9532
85 104 5747
85 107 11963
85 132 10014
85 175 2770
85 180 6994
85 193 10034
85 194 9844
85 244 7221
84 96 11982
84 105 8511
84 202 9238
84 218 3694
84 233 6812
83 86 4344
83 153 6590
83 176 11914
83 208 10290
83 213 10888
83 245 9913
83 247 9265
82 120 8225
82 135 4508
82 147 11254
82 228 7588
82 230 10166
81 98 8938
81 150 9615
81 203 11386
81 205 10423
81 226 5577
80 85 9700
80 111 11633
80 175 10110
80 180 7431
80 213 11328
80 215 9294
79 113 10817
79 129 3633
79 139 9955
79 160 11389
79 240 2065
79 241 9536
78 79 10966
78 103 2737
78 139 7171
78 152 11765
78 188 10655
78 209 11848
78 227 8175
78 241 9031
77 96 7370
77 116 3658
77 154 4395
77 229 9469
77 242 8004
76 90 3394
76 117 2706
76 165 4846
76 191 10387
76 195 6451
76 221 9669
76 248 10191
75 110 10730
75 127 7749
75 184 5190
75 216 4643
74 121 10775
74 146 9149
73 108 11731
73 151 8210
73 178 6433
73 187 9359
73 190 3706
73 201 8158
73 204 3470
73 221 10329
73 250 7452
72 136 10448
72 149 9121
72 158 10574
72 182 8837
72 185 9326
72 189 3894
72 231 5108
72 234 7728
72 241 11683
71 80 1576
71 85 8129
71 101 11309
71 175 8574
71 180 6528
71 213 11795
71 215 10735
71 245 11957
70 108 5640
70 129 11896
70 174 5282
69 115 6736
69 161 10388
69 166 10769
69 177 4396
69 192 4982
69 203 7328
69 205 10336
69 223 6811
68 84 7338
68 113 11331
68 218 4501
67 150 7561
67 207 5154
67 210 11107
66 72 6843
66 126 10535
66 139 11370
66 149 7162
66 152 10304
66 158 8838
66 182 10922
66 185 4790
66 189 3552
66 198 9301
66 209 10677
66 231 5007
66 241 11415
65 92 4394
65 110 6144
65 120 6813
65 135 9237
65 138 3977
65 146 7790
65 147 4384
65 184 9898
65 216 11174
65 219 8298
65 228 8490
64 97 2231
64 200 1821
64 238 4962
63 72 10901
63 79 11140
63 91 8635
63 129 11744
63 139 9478
63 189 11357
63 234 3191
63 240 10804
63 241 7405
62 88 5163
62 90 9050
62 112 6739
62 131 6866
62 195 7466
62 235 10977
61 64 6637
61 97 5690
61 112 8712
61 200 4868
61 238 11595
60 81 6845
60 98 6442
60 145 8083
60 186 6135
60 205 10796
60 226 8326
60 249 8763
59 69 4795
59 115 1947
59 164 7425
59 177 6845
59 192 8507
59 203 6778
59 205 10891
59 210 9540
59 212 8501
59 223 2759
58 66 6750
58 119 8024
58 126 6349
58 149 6092
58 152 10773
58 158 6773
58 173 11673
58 182 11710
58 185 3368
58 189 10123
58 198 2583
58 209 11002
58 231 8049
57 74 5918
57 120 11916
57 121 5027
57 146 8552
57 162 11851
56 68 8505
56 79 8955
56 113 4590
56 129 9745
56 137 10111
56 160 8414
56 218 11852
56 240 9744
55 100 8037
55 118 8936
55 141 2922
55 148 7002
54 57 5542
54 74 10372
54 82 11179
54 120 7620
54 121 2782
54 135 10851
54 146 6902
54 230 9315
53 78 10533
53 94 9973
53 103 10130
53 152 3422
53 169 6388
53 188 3447
53 209 3135
53 227 2384
53 232 6392
52 71 7990
52 80 6984
52 87 10847
52 111 11491
52 134 11676
52 215 10713
51 60 4226
51 81 10173
51 98 10154
51 105 11784
51 145 8851
51 186 5942
51 202 9673
51 233 11667
51 249 8802
50 60 8296
50 81 8196
50 94 8739
50 98 3121
50 145 10234
50 161 8334
50 177 8610
50 186 10833
50 192 9628
50 203 5875
50 205 2568
50 223 10927
50 226 3314
50 249 11708
49 51 9958
49 84 8782
49 105 6005
49 145 11407
49 186 9500
49 202 3841
49 217 7531
49 218 11710
49 233 2109
49 249 10057
48 65 10444
48 92 6658
48 110 7505
48 138 6569
48 147 9071
48 168 11422
48 219 2914
48 225 5238
47 162 7892
47 170 6854
47 178 11118
47 187 7689
46 49 11127
46 68 6225
46 77 11037
46 84 2906
46 96 10135
46 105 11417
46 218 4535
46 233 9323
45 50 2107
45 60 9573
45 69 11930
45 81 10281
45 94 6793
45 98 3365
45 145 9765
45 161 6268
45 169 10433
45 177 7613
45 186 10945
45 192 8240
45 203 5971
45 205 1773
45 223 11370
45 226 5336
45 232 10384
45 249 11288
44 83 8576
44 153 8933
44 157 10122
44 208 2708
44 211 5763
44 213 7554
44 220 9405
44 222 3765
44 245 10274
43 87 9639
43 102 9688
43 109 6664
43 136 5008
43 142 8880
43 158 11467
43 182 6506
43 197 9113
42 82 11854
42 89 6374
42 122 7815
42 171 9973
42 183 3878
42 199 10323
41 76 7166
41 90 10329
41 117 5100
41 151 7051
41 165 3395
41 191 3649
41 195 10624
41 221 3150
41 248 7741
40 67 5590
40 81 10277
40 150 5382
40 207 10412
40 210 10654
40 212 11209
39 75 6907
39 110 9245
39 127 844
39 184 8279
39 216 5290
38 77 2674
38 96 9352
38 116 1398
38 154 3846
38 229 7596
38 242 6139
37 42 5329
37 89 1841
37 99 8515
37 183 9055
36 37 8804
36 42 10606
36 89 7142
36 95 6254
36 142 11388
36 199 10645
35 54 8565
35 57 4399
35 74 1812
35 121 9075
35 146 7784
34 59 9102
34 115 8593
34 164 10678
34 223 10644
33 53 7988
33 78 11466
33 94 7410
33 103 9251
33 105 10076
33 145 7333
33 152 11408
33 161 11627
33 169 5434
33 186 10165
33 188 4594
33 202 11801
33 209 11121
33 227 7421
33 232 5700
33 249 7367
32 38 9487
32 116 8730
32 154 10769
32 229 7913
32 242 7871
31 44 10126
31 71 10835
31 80 10818
31 83 10926
31 144 8740
31 153 4565
31 157 11364
31 180 6569
31 208 8708
31 211 9124
31 213 3314
31 215 11280
31 220 11146
31 222 11496
31 245 1475
30 48 2921
30 65 10752
30 92 6429
30 110 9440
30 138 6802
30 147 8191
30 168 10821
30 219 2524
30 225 3477
30 228 10208
29 36 10487
29 42 10902
29 95 8477
29 114 5483
29 122 7801
29 171 10987
29 183 8584
29 199 775
29 224 9677
29 243 2503
28 63 7419
28 66 7206
28 72 5107
28 139 7814
28 185 11544
28 189 3989
28 231 8817
28 234 4883
28 241 6580
27 56 9933
27 78 3854
27 79 9413
27 103 4190
27 139 9654
27 218 11910
27 227 11644
27 240 11461
27 241 11097
26 61 3404
26 64 9366
26 97 8879
26 112 5309
26 200 7779
25 40 7951
25 67 8457
25 81 11814
25 115 10397
25 150 2915
25 164 5034
25 207 9602
25 210 2802
25 212 3696
25 223 9835
25 226 11996
24 34 6032
24 59 7072
24 69 7437
24 115 7960
24 177 11709
24 196 8090
24 223 9692
23 35 3658
23 54 7033
23 57 1508
23 74 4871
23 121 6464
23 146 9324
22 28 1873
22 63 7424
22 66 7811
22 72 3782
22 139 9594
22 185 11666
22 189 4280
22 231 8276
22 234 4409
22 241 8207
21 41 7068
21 76 2897
21 90 5690
21 117 2095
21 128 11837
21 165 6088
21 191 9529
21 195 9349
21 221 10072
21 248 7725
20 71 6872
20 80 8364
20 85 3540
20 101 6397
20 104 5319
20 175 1925
20 180 8733
20 193 9085
20 244 9323
19 36 11609
19 52 11645
19 87 2813
19 95 11772
19 142 6465
18 42 10519
18 82 5763
18 122 9728
18 135 10171
18 159 10542
18 171 7756
18 183 9423
18 224 11337
18 230 6676
17 55 7406
17 99 11623
17 100 10210
17 118 5134
17 130 9325
17 141 7951
17 148 7171
17 167 11475
17 179 6981
17 237 7388
16 25 4507
16 40 9051
16 50 10519
16 59 10462
16 67 11797
16 81 8217
16 115 9104
16 150 4256
16 164 5589
16 203 8786
16 205 11074
16 210 4580
16 212 4000
16 223 7725
16 226 7498
15 19 7335
15 52 9603
15 87 9145
15 130 10737
15 134 6648
15 167 8096
14 20 8927
14 101 2560
14 104 8741
14 130 10843
14 134 6257
14 163 11602
14 175 9377
14 193 8128
13 29 6032
13 36 6079
13 37 8058
13 42 6364
13 89 7461
13 95 8239
13 114 9906
13 122 8542
13 171 11918
13 183 6361
13 199 5807
13 243 8457
12 31 8689
12 44 10208
12 83 3687
12 86 6927
12 144 8708
12 153 4140
12 176 9935
12 208 11101
12 213 9716
12 245 7396
12 247 6678
11 106 11028
11 107 11976
11 124 886
11 176 7428
11 247 9977
10 24 3526
10 34 8216
10 59 10398
10 69 9604
10 115 11445
10 143 10955
10 196 4585
9 12 4709
9 31 3984
9 44 9334
9 83 7285
9 86 11331
9 144 7437
9 153 702
9 180 9533
9 208 9011
9 211 10661
9 213 5604
9 222 11895
9 245 2711
9 247 9709
8 43 11616
8 58 6795
8 66 9235
8 72 11091
8 102 10577
8 126 2442
8 149 2175
8 158 516
8 182 5778
8 185 4976
8 189 10982
8 198 6984
8 231 6107
7 17 4529
7 55 11235
7 99 9893
7 100 11022
7 118 8821
7 130 5363
7 141 10829
7 148 7924
7 167 6998
7 179 7006
7 237 5556
6 27 3351
6 33 11054
6 56 11131
6 68 10880
6 78 5505
6 103 3834
6 105 11574
6 218 9458
6 227 11433
5 6 11184
5 27 8347
5 56 6425
5 78 10733
5 79 2559
5 113 8751
5 129 4751
5 139 11375
5 160 10114
5 240 3883
5 241 11344
4 38 8512
4 46 11902
4 68 9725
4 77 8069
4 116 9861
4 154 4799
4 229 7635
4 242 7024
3 15 8765
3 19 7425
3 43 11456
3 52 5083
3 80 11759
3 87 5980
3 109 9627
3 111 11746
3 142 11373
2 73 6506
2 108 7484
2 131 10203
2 151 10908
2 165 11039
2 190 9582
2 195 11069
2 201 9550
2 204 8567
2 221 10428
1 16 5719
1 25 10191
1 45 6471
1 50 4849
1 59 9955
1 60 10657
1 69 11816
1 81 6821
1 98 7704
1 115 9610
1 150 9659
1 161 11714
1 164 9368
1 177 8927
1 192 10711
1 203 4678
1 205 5476
1 210 9511
1 212 8438
1 223 7573
1 226 2383
